Sample ID,Genotype,Line,Kabuki,Day
AB_10-39_D14_S22_L001,Mut,AB_10-39,KS2,D14
AB_10-39_D14_S22_L002,Mut,AB_10-39,KS2,D14
AB_10-39_D7_S1_L001,Mut,AB_10-39,KS2,D7
AB_10-39_D7_S1_L002,Mut,AB_10-39,KS2,D7
AB_96-15_D14_S6_L001,Mut,AB_96-15,KS2,D14
AB_96-15_D14_S6_L002,Mut,AB_96-15,KS2,D14
AB_96-15_D7_S20_L001,Mut,AB_96-15,KS2,D7
AB_96-15_D7_S20_L002,Mut,AB_96-15,KS2,D7
AB_96-21_D14_S3_L001,Mut,AB_96-21,KS2,D14
AB_96-21_D14_S3_L002,Mut,AB_96-21,KS2,D14
AB_96-21_D7_S8_L001,Mut,AB_96-21,KS2,D7
AB_96-21_D7_S8_L002,Mut,AB_96-21,KS2,D7
Con_10-5_D14_S19_L001,Wt,Con_10-5,KS1,D14
Con_10-5_D14_S19_L002,Wt,Con_10-5,KS1,D14
Con_10-5_D7_S5_L001,Wt,Con_10-5,KS1,D7
Con_10-5_D7_S5_L002,Wt,Con_10-5,KS1,D7
Con_10-7_D14_S10_L001,Wt,Con_10-7,KS1,D14
Con_10-7_D14_S10_L002,Wt,Con_10-7,KS1,D14
Con_10-7_D7_S11_L001,Wt,Con_10-7,KS1,D7
Con_10-7_D7_S11_L002,Wt,Con_10-7,KS1,D7
Con_10-8_D14_S13_L001,Wt,Con_10-8,KS1,D14
Con_10-8_D14_S13_L002,Wt,Con_10-8,KS1,D14
Con_10-8_D7_S12_L001,Wt,Con_10-8,KS1,D7
Con_10-8_D7_S12_L002,Wt,Con_10-8,KS1,D7
IUID_10-7_D14_S21_L001,Mut,IUID_10-7,KS1,D14
IUID_10-7_D14_S21_L002,Mut,IUID_10-7,KS1,D14
IUID_10-7_D7_S14_L001,Mut,IUID_10-7,KS1,D7
IUID_10-7_D7_S14_L002,Mut,IUID_10-7,KS1,D7
IUID_96-9_D14_S9_L001,Mut,IUID_96-9,KS1,D14
IUID_96-9_D14_S9_L002,Mut,IUID_96-9,KS1,D14
IUID_96-9_D7_S15_L001,Mut,IUID_96-9,KS1,D7
IUID_96-9_D7_S15_L002,Mut,IUID_96-9,KS1,D7
NC_10-3_D14_S18_L001,Wt,NC_10-3,KS2,D14
NC_10-3_D14_S18_L002,Wt,NC_10-3,KS2,D14
NC_10-3_D7_S17_L001,Wt,NC_10-3,KS2,D7
NC_10-3_D7_S17_L002,Wt,NC_10-3,KS2,D7
NC_96-13_D14_S4_L001,Wt,NC_96-13,KS2,D14
NC_96-13_D14_S4_L002,Wt,NC_96-13,KS2,D14
NC_96-13_D7_S7_L001,Wt,NC_96-13,KS2,D7
NC_96-13_D7_S7_L002,Wt,NC_96-13,KS2,D7
NC_96-14_D14_S2_L001,Wt,NC_96-14,KS2,D14
NC_96-14_D14_S2_L002,Wt,NC_96-14,KS2,D14
NC_96-14_D7_S16_L001,Wt,NC_96-14,KS2,D7
NC_96-14_D7_S16_L002,Wt,NC_96-14,KS2,D7
